rank,post_id,url,current_title,proposed_title,primary_keyword,search_intent,cluster,primary_page,score,grade,confidence,action,reason
330,2026-08-07-safety-auto-5a549d,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-5a549d/,"혼자 사는 당신, 중요한 서류나 귀중품을 안전하게 보관할 때: 방화/방수 금고 vs. 보안 서류함, 나에게 맞는 선택은?",1인 가구 안전 비교｜중요 서류 보관,1인 가구 안전,비교형,fire-prevention,no,6.6,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
331,2026-08-08-products-auto-3477b8,https://honsamnote.co.kr/blog/2026-08-08-products-auto-3477b8/,"혼자 사는 직장인, 퇴근 후 좁은 집 공기가 답답하고 쾨쾨하다면? 1인 가구 맞춤 공기청정기, '이 3가지' 따져보고 고르세요!",1인 가구 공기청정기 방법｜좁은 집 공기,1인 가구 공기청정기,방법형,air-environment,no,6.6,A,HIGH,APPLIED,"A등급 재판정: score 6.6, 대표 키워드+의도 포함, 충돌 없음"
332,2026-08-11-safety-auto-197473,https://honsamnote.co.kr/blog/2026-08-11-safety-auto-197473/,"혼자 사는 당신, 집에서 넘어져 움직일 수 없을까 걱정될 때: 웨어러블 낙상 감지기 vs. 공간형 비접촉 센서, 나에게 맞는 안전 선택은?",1인 가구 낙상 비교｜낙상 감지기,1인 가구 낙상,비교형,emergency-response,no,6.6,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
333,2026-07-30-food-11,https://honsamnote.co.kr/blog/2026-07-30-food-11/,"퇴근 후 지친 당신, 냉장고 식재료 썩히지 않고 알뜰하게 다 먹는 보관 기간 가이드",식재료보관기간 해결 방법｜냉장고정리,식재료보관기간,문제해결형,food-general,no,6.5,A,HIGH,APPLIED,"A등급 재판정: score 6.5, 대표 키워드+의도 포함, 충돌 없음"
334,2026-07-30-products-56,https://honsamnote.co.kr/blog/2026-07-30-products-56/,"빈집 걱정 끝! 1인 가구를 위한 가정용 보안카메라, 이 5가지만 보고 고르세요",1인 가구 보안 카메라 해결 방법｜가정용 보안 카메라 추천,1인 가구 보안 카메라,문제해결형,products-general,no,6.5,A,HIGH,APPLIED,"A등급 재판정: score 6.5, 대표 키워드+의도 포함, 충돌 없음"
335,2026-08-05-housing-auto-580e50,https://honsamnote.co.kr/blog/2026-08-05-housing-auto-580e50/,"혼자 사는 직장인, 반려동물 키우고 싶은데 계약 위반 걱정? 집주인과 현명하게 합의하는 3단계",원룸 반려동물 알아보기｜오피스텔 강아지,원룸 반려동물,질문형,lease-contract,no,6.5,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
336,2026-08-05-housing-auto-f0090f,https://honsamnote.co.kr/blog/2026-08-05-housing-auto-f0090f/,"혼자 사는 직장인, 다음 집 어디로 갈까? 퇴근 후 짬 내서 내게 맞는 전월세집 똑똑하게 찾는 순서",혼자 사는 집 찾기 알아보기｜스마트 부동산 검색,혼자 사는 집 찾기,질문형,moving-prep,no,6.5,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
337,2026-08-06-storage-auto-ddb1d8,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-ddb1d8/,"1인 가구 직장인, 퇴근 후 던져놓는 지갑·열쇠·휴대폰… 잃어버리지 않고 깔끔하게 정리하는 현실 수납법",1인 가구 수납 해결 방법｜현관 정리,1인 가구 수납,문제해결형,oneroom-storage,no,6.5,A,HIGH,APPLIED,"A등급 재판정: score 6.5, 대표 키워드+의도 포함, 충돌 없음"
338,2026-08-07-housing-auto-0bc6a2,https://honsamnote.co.kr/blog/2026-08-07-housing-auto-0bc6a2/,"혼자 사는 직장인, 좁은 집 짐 처치 곤란? 셀프 스토리지 vs 비우기, 내 돈 아끼는 현명한 선택 가이드",1인 가구 짐 정리 비교｜셀프 스토리지 비용,1인 가구 짐 정리,비교형,moving-prep,no,6.5,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
339,2026-08-08-safety-auto-2186aa,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-2186aa/,"혼자 사는 당신, 응급상황 시 내 몸이 말 못 할 때? 비상 의료 정보 카드 vs. 스마트폰 응급 ID, 어떤 대비가 나에게 맞을까?",비상 의료 정보 카드 비교｜스마트폰 응급 ID,비상 의료 정보 카드,비교형,emergency-response,no,6.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
340,2026-08-12-housing-auto-f420ec,https://honsamnote.co.kr/blog/2026-08-12-housing-auto-f420ec/,"혼자 사는 직장인, 집주인이 몰래 문 따고 들어왔다면? 내 사생활과 보증금 지키는 똑똑한 대처법",집주인무단침입 알아보기｜임대차계약,집주인무단침입,질문형,deposit,no,6.5,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
341,2026-08-06-lifestyle-auto-dd68b0,https://honsamnote.co.kr/blog/2026-08-06-lifestyle-auto-dd68b0/,"혼자 사는 직장인, 친구 커플/가족 모임 초대받았을 때 어색함 없이 즐기는 현실 가이드",커플 모임 해결 방법｜가족 모임,커플 모임,문제해결형,relationship-management,no,6.4,A,HIGH,APPLIED,"A등급 재판정: score 6.3, 대표 키워드+의도 포함, 충돌 없음"
342,2026-08-06-safety-auto-3d7ecc,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-3d7ecc/,"혼자 사는 당신, 퇴근 후 현관문이 훼손되었거나 집안이 어수선할 때: 빈집털이 침입 의심 시 안전하게 대처하는 최우선 행동 수칙",1인 가구 안전 해결 방법｜빈집털이 대처,1인 가구 안전,문제해결형,lock-security,no,6.4,A,HIGH,APPLIED,"A등급 재판정: score 6.4, 대표 키워드+의도 포함, 충돌 없음"
343,2026-08-06-storage-auto-4e768a,https://honsamnote.co.kr/blog/2026-08-06-storage-auto-4e768a/,"1인 가구 직장인, '꽉 찬 옷장' 막막하다면? 내 옷에 맞춰 '선반 vs 서랍 vs 수납함' 최적 조합 찾는 현실 가이드",1인 가구 옷장 비교｜좁은 옷장 수납,1인 가구 옷장,비교형,closet-clothing,no,6.4,A,HIGH,APPLIED,"A등급 재판정: score 6.4, 대표 키워드+의도 포함, 충돌 없음"
344,2026-08-13-housing-auto-0fa740,https://honsamnote.co.kr/blog/2026-08-13-housing-auto-0fa740/,"혼자 사는 직장인, 보증금 떼일까 불안하다면? 전월세 보증보험 vs 셀프 대비, 내 돈 지키는 현명한 선택 가이드",혼자 사는 직장인 보증금 비교｜전월세 보증보험,혼자 사는 직장인 보증금,비교형,deposit,no,6.4,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
345,2026-07-30-housing-48,https://honsamnote.co.kr/blog/2026-07-30-housing-48/,옵션 가전 고장 알아보기｜세입자 책임,옵션 가전 고장 해결 방법｜세입자 책임,옵션 가전 고장,문제해결형,lease-contract,yes,6.3,A,HIGH,APPLIED,"A등급 재판정: score 6.3, 대표 키워드+의도 포함, 충돌 없음"
346,2026-07-30-safety-35,https://honsamnote.co.kr/blog/2026-07-30-safety-35/,"혼자 사는 당신, 늦은 밤 퇴근 후 불안한 현관 보안 이대로 강화하세요",1인 가구 현관 보안 해결 방법｜현관문 잠금,1인 가구 현관 보안,문제해결형,lock-security,yes,6.3,A,HIGH,APPLIED,"A등급 재판정: score 6.3, 대표 키워드+의도 포함, 충돌 없음"
347,2026-08-06-housing-auto-5c27e6,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-5c27e6/,"혼자 사는 직장인, 해외 파견/장기 출장 갈 때? 내 원룸 현명하게 단기 임대주고 돈 버는 법",혼자 사는 직장인 장기 출장 비용 정리｜원룸 단기 임대,혼자 사는 직장인 장기 출장,비용형,landlord-issues,no,6.3,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
348,2026-08-09-food-auto-e39c1f,https://honsamnote.co.kr/blog/2026-08-09-food-auto-e39c1f/,"혼자 사는 직장인, 대용량 닭가슴살 앞에서 망설일 때: 버리지 않고 끝까지 촉촉하게 즐기는 구매부터 보관, 활용법",혼자 사는 직장인 닭가슴살 해결 방법｜대용량 닭가슴살 보관,혼자 사는 직장인 닭가슴살,문제해결형,solo-meal-recipe,no,6.3,A,HIGH,APPLIED,"A등급 재판정: score 6.3, 대표 키워드+의도 포함, 충돌 없음"
349,2026-08-14-products-auto-da7759,https://honsamnote.co.kr/blog/2026-08-14-products-auto-da7759/,"혼자 사는 직장인, 혹시 모를 사고에 내 보증금·월세 가구 지켜줄 '이 보험' 꼭 확인하세요!",1인 가구 화재보험 해결 방법｜월세집 보험,1인 가구 화재보험,문제해결형,products-general,no,6.3,A,HIGH,APPLIED,"A등급 재판정: score 6.3, 대표 키워드+의도 포함, 충돌 없음"
350,2026-08-03-housing-auto-f53851,https://honsamnote.co.kr/blog/2026-08-03-housing-auto-f53851/,"혼자 사는 직장인, 빈집 vs 풀옵션 원룸/오피스텔, 뭘 골라야 현명할까? 시간과 돈 아끼는 최적의 선택 가이드",1인 가구 주거 선택 비교｜풀옵션 원룸,1인 가구 주거 선택,비교형,lease-contract,no,6.2,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
351,2026-08-04-lifestyle-auto-dabdf3,https://honsamnote.co.kr/blog/2026-08-04-lifestyle-auto-dabdf3/,"혼자 사는 직장인, 친구나 가족이 잠깐 머물겠다고 할 때, 내 공간 지키며 관계도 유지하는 현명한 대처법",1인 가구 방문객 해결 방법｜친구 재워주기,1인 가구 방문객,문제해결형,daily-rhythm,no,6.2,A,HIGH,APPLIED,"A등급 재판정: score 6.2, 대표 키워드+의도 포함, 충돌 없음"
352,2026-08-08-storage-auto-37bfb5,https://honsamnote.co.kr/blog/2026-08-08-storage-auto-37bfb5/,"1인 가구 직장인, 퇴근 후 외투·가방·모자 좁은 집 의자에 던져두고 쌓인다면? 깔끔하게 정리하고 다음 날 바로 쓰는 현실 수납법",1인 가구 외투 알아보기｜좁은 집 가방 수납,1인 가구 외투,질문형,entryway-storage,no,6.2,A,HIGH,APPLIED,"A등급 재판정: score 6.2, 대표 키워드+의도 포함, 충돌 없음"
353,2026-08-11-lifestyle-auto-90d3e2,https://honsamnote.co.kr/blog/2026-08-11-lifestyle-auto-90d3e2/,"혼자 사는 직장인, 밤샘 야근·늦은 약속 다음 날, 망가진 생활 리듬 최소 2시간 만에 되돌리는 법",생활 리듬 회복 해결 방법｜밤샘 야근 후,생활 리듬 회복,문제해결형,daily-rhythm,no,6.2,A,HIGH,APPLIED,"A등급 재판정: score 6.2, 대표 키워드+의도 포함, 충돌 없음"
354,2026-08-13-food-auto-f7b0fc,https://honsamnote.co.kr/blog/2026-08-13-food-auto-f7b0fc/,"혼자 사는 직장인, 대용량 장류(고추장, 된장, 간장) 앞에서 망설일 때: 냉장고 공간, 맛, 위생 다 잡는 현명한 구매부터 보관, 활용법",1인 가구 장류 해결 방법｜된장 보관법,1인 가구 장류,문제해결형,ingredient-storage,no,6.2,A,HIGH,APPLIED,"A등급 재판정: score 6.2, 대표 키워드+의도 포함, 충돌 없음"
355,2026-07-30-cost-70,https://honsamnote.co.kr/blog/2026-07-30-cost-70/,"혼자 사는 직장인, 갑자기 늘어난 수도요금: 숨은 누수 찾고 해결하는 실전 가이드",수도요금 폭탄 비용 정리｜누수,수도요금 폭탄,비용형,cost-general,no,6.1,A,HIGH,APPLIED,"A등급 재판정: score 6.0, 대표 키워드+의도 포함, 충돌 없음"
356,2026-08-04-housing-auto-cbaa3c,https://honsamnote.co.kr/blog/2026-08-04-housing-auto-cbaa3c/,"혼자 사는 직장인, 첫 집 계약 전세 vs 월세? 내 돈 아끼는 현명한 선택 가이드",전세 월세 장단점 비교｜첫 집 계약,전세 월세 장단점,비교형,housing-general,no,6.1,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
357,2026-08-07-food-auto-9b0d72,https://honsamnote.co.kr/blog/2026-08-07-food-auto-9b0d72/,"혼자 사는 직장인, 좁은 주방에 꽉 찬 식료품 관리 어려울 때: 효율적인 '나만의 미니 팬트리' 만드는 현실적인 전략",혼자 사는 직장인 식재료 관리 해결 방법｜좁은 주방 수납,혼자 사는 직장인 식재료 관리,문제해결형,food-general,no,6.1,A,HIGH,APPLIED,"A등급 재판정: score 6.1, 대표 키워드+의도 포함, 충돌 없음"
358,2026-08-08-products-auto-b03456,https://honsamnote.co.kr/blog/2026-08-08-products-auto-b03456/,"혼자 사는 직장인, 밤중에 갑자기 나타난 해충에 소름 돋았다면? 1인 가구 맞춤 해충 방역, 셀프 vs 전문가 현명하게 결정하는 법",1인 가구 해충 비교｜바퀴벌레 셀프 퇴치,1인 가구 해충,비교형,safety-products,no,6.1,A,HIGH,APPLIED,"A등급 재판정: score 6.1, 대표 키워드+의도 포함, 충돌 없음"
359,2026-08-08-safety-auto-ee80c6,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-ee80c6/,"혼자 사는 당신, 갑자기 천장이나 벽에서 물이 샐 때: 당황하지 않고 원인 파악부터 안전하게 대처하는 현실적인 방법",천장 누수 방법｜벽 누수,천장 누수,방법형,leak-accident,no,6.1,A,HIGH,APPLIED,"A등급 재판정: score 6.1, 대표 키워드+의도 포함, 충돌 없음"
360,2026-08-10-safety-auto-1af8f5,https://honsamnote.co.kr/blog/2026-08-10-safety-auto-1af8f5/,"혼자 사는 당신, 우리 집 바퀴벌레/쥐 발견했을 때: DIY 셀프 퇴치 vs. 전문 방역 서비스, 나에게 맞는 선택은?",1인 가구 해충 비교｜바퀴벌레 퇴치,1인 가구 해충,비교형,pest-control,no,6.1,A,HIGH,APPLIED,"A등급 재판정: score 6.1, 대표 키워드+의도 포함, 충돌 없음"
361,2026-08-11-food-auto-a86ad1,https://honsamnote.co.kr/blog/2026-08-11-food-auto-a86ad1/,"혼자 사는 직장인, 빵 한 팩 앞에서 망설일 때: 버리지 않고 끝까지 촉촉하게 즐기는 구매부터 보관, 활용법",혼자 빵 보관 해결 방법｜식빵 냉동,혼자 빵 보관,문제해결형,ingredient-storage,no,6.1,A,HIGH,APPLIED,"A등급 재판정: score 6.1, 대표 키워드+의도 포함, 충돌 없음"
362,2026-07-30-cleaning-25,https://honsamnote.co.kr/blog/2026-07-30-cleaning-25/,"퇴근 후 지친 1인 가구, 10분씩 쪼개서 끝내는 주간 청소 루틴",1인 가구 청소 루틴 해결 방법｜퇴근 후 청소,1인 가구 청소 루틴,문제해결형,cleaning-tools-time,yes,6,A,HIGH,APPLIED,"A등급 재판정: score 6.0, 대표 키워드+의도 포함, 충돌 없음"
363,2026-07-30-food-16,https://honsamnote.co.kr/blog/2026-07-30-food-16/,"퇴근 후 요리하는 1인 가구, 냄새 없이 음식물 쓰레기 줄이는 현실적인 루틴",음식물 쓰레기 처리 해결 방법｜음식물 쓰레기 줄이기,음식물 쓰레기 처리,문제해결형,food-waste,no,6,A,HIGH,APPLIED,"A등급 재판정: score 6.0, 대표 키워드+의도 포함, 충돌 없음"
364,2026-08-01-cost-auto-e9d2d3,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-e9d2d3/,"혼자 사는 직장인, 새집 꾸밀 가전·가구, 사야 할까? 빌려야 할까? 후회 없는 결정 가이드",1인 가구 가전 알아보기｜가전 렌탈,1인 가구 가전,질문형,general-living-cost,no,6,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
365,2026-08-01-safety-auto-4f0708,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-4f0708/,"혼자 사는 당신, 늦은 밤 갑자기 정전될 때? 당황하지 않고 안전하게 대처하는 현실적인 방법",1인 가구 정전 방법｜정전 대처법,1인 가구 정전,방법형,safety-general,no,6,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
366,2026-08-08-cost-auto-123a00,https://honsamnote.co.kr/blog/2026-08-08-cost-auto-123a00/,"혼자 사는 직장인, 매달 새는 통신비 아까울 때! 메이저 vs 알뜰폰, 내게 맞는 후회 없는 선택 가이드",통신비 아끼는 법 비교｜알뜰폰 추천,통신비 아끼는 법,비교형,telecom-bill,no,6,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
367,2026-08-08-housing-auto-8b0461,https://honsamnote.co.kr/blog/2026-08-08-housing-auto-8b0461/,"혼자 사는 직장인, 새집 입주 후 당황스러운 전기·가스·수도 명의 변경! 순서대로 해결하고 요금 폭탄 피하는 법",1인 가구 이사 비용 정리｜전기 명의 변경,1인 가구 이사,비용형,moving-prep,no,6,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
368,2026-08-10-food-auto-b034b3,https://honsamnote.co.kr/blog/2026-08-10-food-auto-b034b3/,"혼자 사는 직장인, 점심 도시락 망설일 때: 귀찮음 없이 매일 든든한 '나만의 스마트 도시락' 만드는 법",1인 가구 도시락 해결 방법｜도시락 싸기,1인 가구 도시락,문제해결형,food-general,no,6,A,HIGH,APPLIED,"A등급 재판정: score 6.0, 대표 키워드+의도 포함, 충돌 없음"
369,2026-08-11-housing-auto-2bfaff,https://honsamnote.co.kr/blog/2026-08-11-housing-auto-2bfaff/,"혼자 사는 직장인, 조립 가구 앞에서 한숨 쉬지 마세요! 셀프 vs 전문가 조립, 시간과 돈 아끼는 현명한 선택 가이드",조립 가구 조립 방법 비교｜셀프 가구 조립,조립 가구 조립 방법,비교형,housing-general,no,6,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
370,2026-08-01-cost-auto-aa6f9d,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-aa6f9d/,"혼자 사는 직장인, 큰돈 드는 가전·가구! 새것 vs 중고 vs 렌탈, 내게 맞는 선택 기준 3가지",1인가구 가전 비교｜가전제품 구매,1인가구 가전,비교형,general-living-cost,no,5.9,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
371,2026-08-07-safety-auto-7d89fc,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-7d89fc/,"혼자 사는 당신, 우리 집 복도·엘리베이터·주차장에서 수상한 사람을 마주쳤을 때: 당황하지 않고 나를 지키는 현실적인 대처법",1인 가구 안전 해결 방법｜건물 내 위협,1인 가구 안전,문제해결형,safety-general,no,5.9,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
372,2026-08-08-food-auto-76d24e,https://honsamnote.co.kr/blog/2026-08-08-food-auto-76d24e/,"1인 가구 직장인, 혼자 요리하고 남은 '애매한 한 끼분' 음식, 버리지 않고 다음 끼니까지 알뜰하게 즐기는 법",1인 가구 남은 음식 해결 방법｜혼밥 잔반,1인 가구 남은 음식,문제해결형,food-general,no,5.9,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
373,2026-08-14-cleaning-auto-0fc7dd,https://honsamnote.co.kr/blog/2026-08-14-cleaning-auto-0fc7dd/,"혼자 사는 당신, 에어컨에서 퀴퀴한 냄새가 나고 시원하지 않다고요? 딱 20분, 필터 청소로 냉방 효율 높이고 전기료 아끼는 현실 솔루션",에어컨 냄새 알아보기｜에어컨 필터 청소,에어컨 냄새,질문형,appliance-cleaning,no,5.9,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
374,2026-07-30-cost-8,https://honsamnote.co.kr/blog/2026-07-30-cost-8/,"혼자 사는 직장인, 월급은 통장을 스쳐갈 뿐? 나만의 적정 생활비 기준 세우고 지출 최적화하는 3단계",1인 가구 생활비 기준｜혼자 살 때 생활비,1인 가구 생활비,판단형,cost-general,no,5.8,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
375,2026-08-05-safety-auto-d98bca,https://honsamnote.co.kr/blog/2026-08-05-safety-auto-d98bca/,"혼자 사는 당신, 늦은 밤 갑자기 두꺼비집이 내려가거나 콘센트에서 스파크가 튈 때: 당황하지 않고 안전하게 확인하고 대처하는 법",혼자사는전기사고 방법｜두꺼비집내려감,혼자사는전기사고,방법형,electrical-safety,yes,5.8,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
376,2026-08-07-housing-auto-eb35f1,https://honsamnote.co.kr/blog/2026-08-07-housing-auto-eb35f1/,"혼자 사는 직장인, 우리 집 소소한 고장! 매번 사람 부를까, 직접 고쳐볼까? DIY vs. 출장 수리, 내 돈 아끼는 현명한 선택 가이드",혼자 살기 비교｜집 고장,혼자 살기,비교형,housing-general,no,5.8,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
377,2026-08-10-food-auto-d3517e,https://honsamnote.co.kr/blog/2026-08-10-food-auto-d3517e/,"혼자 사는 직장인, 특정 요리 후 남은 '이색 소량 식재료' (고수, 코코넛 밀크 등): 버리지 않고 다음 끼니까지 알뜰하게 해치우는 현실 가이드",1인 가구 식재료 해결 방법｜이색 재료 활용,1인 가구 식재료,문제해결형,grocery-shopping,no,5.8,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
378,2026-08-10-housing-auto-4bca9b,https://honsamnote.co.kr/blog/2026-08-10-housing-auto-4bca9b/,"혼자 사는 직장인, 집주인이 내가 사는 집을 팔겠다고? 잦은 방문 요청에도 사생활 지키며 현명하게 대처하는 법",전월세 매매 방법｜집주인 집 판매,전월세 매매,방법형,landlord-issues,no,5.8,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
379,2026-08-11-safety-auto-d99e57,https://honsamnote.co.kr/blog/2026-08-11-safety-auto-d99e57/,"혼자 사는 당신, 갑자기 일부 전등이 나가거나 특정 콘센트가 작동 안 할 때: 당황하지 않고 안전하게 원인 파악 및 해결하는 현실적인 방법",1인 가구 전기 고장 방법｜두꺼비집 내렸을 때,1인 가구 전기 고장,방법형,electrical-safety,no,5.8,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
380,2026-08-12-cost-auto-b175c0,https://honsamnote.co.kr/blog/2026-08-12-cost-auto-b175c0/,"혼자 사는 직장인, 빈방에 가구 채워 넣으려니 막막하다면? 구매 vs 렌탈, 내게 맞는 최적의 가구 선택 가이드",1인 가구 가구 비교｜가구 선택,1인 가구 가구,비교형,general-living-cost,no,5.8,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
381,2026-08-08-food-auto-89ea49,https://honsamnote.co.kr/blog/2026-08-08-food-auto-89ea49/,"혼자 사는 직장인, 두부 한 모 앞에서 망설일 때: 버리지 않고 끝까지 신선하게 즐기는 구매부터 보관, 활용법",1인 가구 두부 해결 방법｜두부 보관법,1인 가구 두부,문제해결형,freeze-portion,no,5.7,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
382,2026-08-01-housing-auto-1c1518,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-1c1518/,"혼자 사는 직장인, 이사 갈 때 대형 폐기물 처리? 시간과 돈 아끼는 3가지 선택 비교",이사짐정리 비교｜대형가구버리기,이사짐정리,비교형,housing-general,no,5.6,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
383,2026-08-06-safety-auto-a5c266,https://honsamnote.co.kr/blog/2026-08-06-safety-auto-a5c266/,"혼자 사는 당신, 외출 중 갑자기 가스·누수 사고 걱정될 때? 스마트 가스 감지기 vs. 스마트 누수 센서, 나에게 맞는 원격 모니터링은?",1인 가구 안전 비교｜스마트 가스 감지기,1인 가구 안전,비교형,leak-accident,no,5.6,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
384,2026-08-07-cost-auto-7256ba,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-7256ba/,"혼자 사는 직장인, 안 쓰는 대형 가구/가전 버리려니 막막하다면? 무료 수거 vs 유료 폐기, 돈 아끼는 현명한 처분 전략",1인 가구 대형 폐기물 비교｜가구 버리기,1인 가구 대형 폐기물,비교형,general-living-cost,no,5.6,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
385,2026-08-07-cost-auto-846842,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-846842/,"혼자 사는 직장인, 예상치 못한 사고에 내 물건 다 날아갈까 봐 불안하다면? 1인 가구 주택화재보험(세입자 보험), 과연 돈 값 할까?",1인 가구 주택화재보험 알아보기｜세입자 보험 필요성,1인 가구 주택화재보험,질문형,general-living-cost,no,5.6,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
386,2026-08-01-cost-auto-44803f,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-44803f/,"혼자 사는 직장인, 매년 놓치는 연말정산 환급금! 내 돈 최대로 돌려받는 실전 가이드",1인 가구 연말정산 해결 방법｜환급금 최대로,1인 가구 연말정산,문제해결형,general-living-cost,no,5.5,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
387,2026-08-06-cost-auto-f652a0,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-f652a0/,"혼자 사는 직장인, 안 쓰는 물건 쌓여만 간다면? 중고거래 vs 나눔, 후회 없이 처분하고 용돈 버는 법",1인 가구 중고거래 비교｜혼자 살 때 물건 정리,1인 가구 중고거래,비교형,general-living-cost,no,5.5,B,MEDIUM,HOLD(B),대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요)
388,2026-08-11-cost-auto-bf7238,https://honsamnote.co.kr/blog/2026-08-11-cost-auto-bf7238/,"혼자 사는 직장인, '오늘 뭐 먹지?' 고민에 매번 지갑 열린다면? 식비 확 줄이는 1인 가구 맞춤 식단 계획법",1인 가구 식비 절약 알아보기｜식단 계획,1인 가구 식비 절약,질문형,general-living-cost,no,5.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
389,2026-08-07-cost-auto-efcd2f,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-efcd2f/,"혼자 사는 직장인, 사랑하는 반려동물 병원비 폭탄 걱정된다면? 펫보험 vs 예방 관리, 내게 맞는 최적의 선택은?",반려동물 병원비 비교｜펫보험 필요성,반려동물 병원비,비교형,general-living-cost,no,5.4,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
